ページ,目,本年度予算額,前年度予算額,比較,区分,金額,説明
4,款,項,"金
額",,,,
4,"市税
1
1 市民税
2 固定資産税
3 軽自動車税
4 市たばこ税
5 都市計画税","市税
1
1 市民税
2 固定資産税
3 軽自動車税
4 市たばこ税
5 都市計画税","千円
49,286,300",,,,
4,"市税
1
1 市民税
2 固定資産税
3 軽自動車税
4 市たばこ税
5 都市計画税",1 市民税,"18,719,000",,,,
4,"市税
1
1 市民税
2 固定資産税
3 軽自動車税
4 市たばこ税
5 都市計画税",2 固定資産税,"23,861,300",,,,
4,"市税
1
1 市民税
2 固定資産税
3 軽自動車税
4 市たばこ税
5 都市計画税",3 軽自動車税,"896,700",,,,
4,"市税
1
1 市民税
2 固定資産税
3 軽自動車税
4 市たばこ税
5 都市計画税",4 市たばこ税,"2,001,000",,,,
4,"市税
1
1 市民税
2 固定資産税
3 軽自動車税
4 市たばこ税
5 都市計画税",5 都市計画税,"3,808,300",,,,
4,"地方譲与税
2
1 地方揮発油譲与税
2 自動車重量譲与税
3 森林環境譲与税
4 特別とん譲与税","地方譲与税
2
1 地方揮発油譲与税
2 自動車重量譲与税
3 森林環境譲与税
4 特別とん譲与税","685,000",,,,
4,"地方譲与税
2
1 地方揮発油譲与税
2 自動車重量譲与税
3 森林環境譲与税
4 特別とん譲与税",1 地方揮発油譲与税,"120,000",,,,
4,"地方譲与税
2
1 地方揮発油譲与税
2 自動車重量譲与税
3 森林環境譲与税
4 特別とん譲与税",2 自動車重量譲与税,"480,000",,,,
4,"地方譲与税
2
1 地方揮発油譲与税
2 自動車重量譲与税
3 森林環境譲与税
4 特別とん譲与税",3 森林環境譲与税,"78,000",,,,
4,"地方譲与税
2
1 地方揮発油譲与税
2 自動車重量譲与税
3 森林環境譲与税
4 特別とん譲与税",4 特別とん譲与税,"7,000",,,,
4,"利子割交付金
3
1 利子割交付金","利子割交付金
3
1 利子割交付金","100,000",,,,
4,"利子割交付金
3
1 利子割交付金",1 利子割交付金,"100,000",,,,
4,"配当割交付金
4
1 配当割交付金","配当割交付金
4
1 配当割交付金","380,000",,,,
4,"配当割交付金
4
1 配当割交付金",1 配当割交付金,"380,000",,,,
4,"株式等譲渡所得割交付金
5
1 株式等譲渡所得割交付金","株式等譲渡所得割交付金
5
1 株式等譲渡所得割交付金","700,000",,,,
4,"株式等譲渡所得割交付金
5
1 株式等譲渡所得割交付金",1 株式等譲渡所得割交付金,"700,000",,,,
4,"法人事業税交付金
6
1 法人事業税交付金","法人事業税交付金
6
1 法人事業税交付金","770,000",,,,
4,"法人事業税交付金
6
1 法人事業税交付金",1 法人事業税交付金,"770,000",,,,
4,"地方消費税交付金
7
1 地方消費税交付金","地方消費税交付金
7
1 地方消費税交付金","7,800,000",,,,
4,"地方消費税交付金
7
1 地方消費税交付金",1 地方消費税交付金,"7,800,000",,,,
4,"ゴルフ場利用税交付金
8
1 ゴルフ場利用税交付金","ゴルフ場利用税交付金
8
1 ゴルフ場利用税交付金","60,000",,,,
4,"ゴルフ場利用税交付金
8
1 ゴルフ場利用税交付金",1 ゴルフ場利用税交付金,"60,000",,,,
4,"環境性能割交付金
9
1 環境性能割交付金","環境性能割交付金
9
1 環境性能割交付金","2,000",,,,
4,"環境性能割交付金
9
1 環境性能割交付金",1 環境性能割交付金,"2,000",,,,
4,"地方特例交付金
10","地方特例交付金
10","458,000",,,,
5,項,"金
額",,,,,
5,1 地方特例交付金,"千円
453,000",,,,,
5,"2 新型コロナウイルス感染症対策地方税減収補塡特別
交付金","5,000",,,,,
5,"地方交付税
11
1 地方交付税","200,000",,,,,
5,1 地方交付税,"200,000",,,,,
5,"交通安全対策特別交付金
12
1 交通安全対策特別交付金","40,000",,,,,
5,1 交通安全対策特別交付金,"40,000",,,,,
5,"分担金及び負担金
13
1 負担金","1,673,555",,,,,
5,1 負担金,"1,673,555",,,,,
5,"使用料及び手数料
14
1 使用料
2 手数料","1,274,952",,,,,
5,1 使用料,"869,037",,,,,
5,2 手数料,"405,915",,,,,
5,"国庫支出金
15
1 国庫負担金
2 国庫補助金
3 国庫委託金","19,346,840",,,,,
5,1 国庫負担金,"15,463,656",,,,,
5,2 国庫補助金,"3,824,969",,,,,
5,3 国庫委託金,"58,215",,,,,
5,"県支出金
16
1 県負担金
2 県補助金
3 県委託金","8,912,921",,,,,
5,1 県負担金,"5,615,850",,,,,
5,2 県補助金,"2,797,812",,,,,
5,3 県委託金,"499,259",,,,,
5,"財産収入
17
1 財産運用収入
2 財産売払収入","375,139",,,,,
5,1 財産運用収入,"248,736",,,,,
5,2 財産売払収入,"126,403",,,,,
5,"寄附金
18
1 寄附金","6,019,301",,,,,
5,1 寄附金,"6,019,301",,,,,
5,"繰入金
19
1 特別会計繰入金","2,140,017",,,,,
5,1 特別会計繰入金,"130,481",,,,,
6,項,"金
額",,,,,
6,2 基金繰入金,"2,009,536",,,,,
6,"繰越金
20
1 繰越金","1,000,000",,,,,
6,1 繰越金,"1,000,000",,,,,
6,"諸収入
21
1 延滞金加算金及び過料
2 市預金利子
3 貸付金元利収入
4 受託事業収入
5 雑入","1,973,375",,,,,
6,1 延滞金加算金及び過料,"25,002",,,,,
6,2 市預金利子,"9,187",,,,,
6,3 貸付金元利収入,"1,000",,,,,
6,4 受託事業収入,"5,703",,,,,
6,5 雑入,"1,932,483",,,,,
